Valeur fonciere,Nombre pieces principales,Surface reelle bati,lat,long
77000.0,2.0,44.0,45.1679584,5.7254461
159000.0,5.0,62.0,45.1685418,5.7275118
352000.0,3.0,103.0,45.1928884,5.7287676
345000.0,1.0,28.0,45.1917432,5.7305088
345000.0,1.0,28.0,45.1917432,5.7305088
345000.0,1.0,28.0,45.1917432,5.7305088
345000.0,1.0,28.0,45.1917432,5.7305088
345000.0,1.0,29.0,45.1917432,5.7305088
345000.0,1.0,19.0,45.1917432,5.7305088
345000.0,1.0,25.0,45.1917432,5.7305088
345000.0,1.0,28.0,45.1917432,5.7305088
345000.0,1.0,28.0,45.1917432,5.7305088
145100.0,2.0,45.0,45.1299574,5.825238
107000.0,2.0,36.0,45.3972198,6.0765684
303900.0,5.0,100.0,45.17772615,5.730323983827457
81225.0,2.0,58.0,45.1723528,5.7372733
45600.0,1.0,19.0,45.123407,5.8764798
85500.0,2.0,35.0,45.1680405,5.7271302
126000.0,4.0,81.0,45.0956051,5.7451857
