APP_Libelle_activite_etablissement,Synthese_eval_sanit,ods_type_activite,latitude,longitude,semaine,jour
Chaîne d'abattage de volaille/lagomorphe/petit gibier,Très satisfaisant,Abattoirs,45.9833,4.336168,49,3
Découpe de viande de boucherie,Très satisfaisant,Viandes et produits carnés,45.9833,4.336168,44,4
Découpe de viandes de volailles/lagomorphe,Très satisfaisant,Viandes et produits carnés,45.9833,4.336168,44,4
Transformation de produits carnés,Satisfaisant,Viandes et produits carnés,45.9833,4.336168,44,4
Boucherie-Charcuterie,Satisfaisant,Autres,44.907263,5.787949,24,4
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.666093,4.752407,5,2
Boucherie-Charcuterie,Satisfaisant,Autres,45.291408,4.249705,36,3
Caves d'affinage,Satisfaisant,Lait et produits laitiers,44.866891,2.330014,40,1
Restaurant,Très satisfaisant,Autres,45.631773,4.456105,1,2
Restaurant,Satisfaisant,Autres,45.75259,4.869258,36,3
Autres,Satisfaisant,Produits de la mer et d'eau douce,45.597903,5.860416,14,1
Restaurant,Satisfaisant,Autres,46.315453,3.292684,36,4
Restaurant,Satisfaisant,Autres,45.685485,5.90917,36,5
Restaurant,Satisfaisant,Autres,45.758418,4.84204,3,1
Restaurant,Satisfaisant,Autres,45.756004,4.842714,3,1
Restauration collective,Satisfaisant,Autres,46.143815,4.112768,1,3
Restauration collective,Très satisfaisant,Autres,46.071317,4.896346,24,2
Traiteur|Boucherie-Charcuterie,Satisfaisant,Autres,46.219824,5.555307,39,4
Producteur fermier,Très satisfaisant,Autres,45.054499,4.329501,3,2
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,46.153031,4.151256,14,1
Restaurant,A améliorer,Autres,45.238435,5.801921,42,3
Autres,Très satisfaisant,Autres,45.038853,4.83068,22,2
Restaurant,Satisfaisant,Autres,44.601125,4.386501,36,2
Restaurant,Très satisfaisant,Autres,45.784943,3.102656,37,1
Traiteur|Boucherie-Charcuterie,Très satisfaisant,Autres,45.835872,4.617418,3,3
Restaurant,Satisfaisant,Autres,45.338844,5.05688,43,3
Restaurant,Satisfaisant,Autres,45.749366,4.83845,36,4
Producteur fermier,Très satisfaisant,Autres,45.892873,6.711674,3,3
Boucherie-Charcuterie,Satisfaisant,Autres,45.706319,4.85527,26,5
Restaurant,Satisfaisant,Autres,45.338933,5.477629,36,5
Traiteur|Boucherie-Charcuterie,Satisfaisant,Autres,45.836212,4.61722,3,3
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.57188,2.671331,23,3
Autres,Très satisfaisant,Autres,45.756415,4.842083,3,3
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.719273,5.078478,30,3
Restaurant,Satisfaisant,Autres,44.748488,4.66552,36,4
Restaurant,Satisfaisant,Autres,45.338933,5.477629,36,5
Autres,Très satisfaisant,Autres,45.756415,4.842083,3,3
Autres,Satisfaisant,Autres,45.756448,4.842999,3,3
Restaurant,Très satisfaisant,Autres,45.341237,5.470029,36,5
Restauration collective,Satisfaisant,Autres,45.17093,2.316186,16,2
Restauration collective,Très satisfaisant,Autres,45.619827,4.70465,19,4
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,46.121361,4.942738,19,4
Restauration collective,Très satisfaisant,Autres,45.951484,6.192834,16,4
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.580552,4.124294,26,2
Restaurant,Satisfaisant,Autres,45.338933,5.477629,36,5
Restauration collective,Satisfaisant,Autres,44.962583,4.944196,14,1
Traiteur|Boucherie-Charcuterie,A améliorer,Autres,46.172303,4.802265,24,2
Autres,Satisfaisant,Autres,45.752667,4.831085,3,2
Restauration collective,Très satisfaisant,Autres,45.778037,4.928796,12,3
Restaurant,Satisfaisant,Autres,45.75273,4.830858,3,2
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.778037,4.928796,12,3
Mareyage et préparation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,46.229068,5.773773,45,3
Autres,Très satisfaisant,Transport et entreposage de denrées alimentaires,45.680375,4.937987,16,4
Transformation de produits carnés,Très satisfaisant,Viandes et produits carnés,45.701633,4.762818,38,4
Libre service|Alimentation générale,Satisfaisant,Autres,45.745469,4.820383,37,1
Boulangerie-Pâtisserie,Satisfaisant,Autres,45.418298,4.39583,17,5
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,44.496563,5.198899,38,5
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,45.114949,4.151379,14,4
Transformation de lait ou produits laitiers,Satisfaisant,Lait et produits laitiers,45.114949,4.151379,14,4
Transformation de produits de la pêche,Très satisfaisant,Produits de la mer et d'eau douce,46.229068,5.773773,45,3
